sample_ID,country,plot,field_pair,carbon_intensity,treatment,pH,WC,VWC,total.N,total.C,organic.C,inorganic.C,PO4_P,total.P,soil_respiration,Nmin,total_sand,total_silt,total_clay,WHC,BD,root.DW,crop.biomass,plant.height
ES1_T2,ES,1,1,H,C,8.77,7.56,12.93,0.06,1.35,0.62,0.73,0.001,0.31,0.47,0.88,50.14,28.44,21.42,21.91,1.71,142.71,2.3,42.88
ES2_T2,ES,2,1,H,R,8.71,9.91,16.95,0.06,1.2,0.64,0.56,0.001,0.33,0.5,0.91,50.14,28.44,21.42,21.39,1.71,29.24,2.8,36.88
ES3_T2,ES,3,1,H,RC,8.51,8.47,15.42,0.07,1.56,0.72,0.84,0.001,0.32,0.55,1.87,50.14,28.44,21.42,17.67,1.82,54.7,1.8,34
ES4_T2,ES,4,1,L,C,7.55,8.81,15.86,0.05,0.36,0.35,0.01,0.001,0.13,0.17,1.08,38.62,20.67,40.71,17.19,1.8,22.08,0.7,25.2
ES5_T2,ES,5,1,L,R,8.6,10.18,15.58,0.06,1.25,0.51,0.74,0.001,0.17,0.58,1.55,38.62,20.67,40.71,27.35,1.53,15.18,1.1,27.38
ES6_T2,ES,6,1,L,RC,8.19,12.18,21.68,0.06,0.44,0.42,0.02,0.001,0.12,0.25,3.29,38.62,20.67,40.71,18.33,1.78,26.48,0.4,29.13
ES7_T2,ES,7,2,H,C,8.47,12.35,20.25,0.06,0.52,0.5,0.02,0.001,0.14,0.5,2.21,38.93,18.62,42.45,23.01,1.64,29.3,0.4,24.25
ES8_T2,ES,8,2,H,R,8.29,14.62,22.66,0.07,0.52,0.5,0.02,0.001,0.14,0.35,2.91,38.93,18.62,42.45,25.85,1.55,21.02,2.1,30.33
ES9_T2,ES,9,2,H,RC,8.3,11.86,19.92,0.06,0.42,0.4,0.02,0.001,0.11,0.18,2.34,38.93,18.62,42.45,20.59,1.68,60.52,0.3,31.13
ES10_T2,ES,10,2,L,C,8.27,13.79,24.27,0.05,0.31,0.3,0.02,0.001,0.1,0.24,2.02,42.48,17.41,40.12,18.7,1.76,22.45,0.4,23.75
ES11_T2,ES,11,2,L,R,8.26,11.73,18.77,0.05,0.4,0.38,0.02,0.001,0.14,0.46,0.93,42.48,17.41,40.12,17.97,1.6,34.29,4.7,47.28
ES12_T2,ES,12,2,L,RC,8.4,8.69,12.95,0.06,0.36,0.33,0.04,0.001,0.1,0.29,1.25,42.48,17.41,40.12,25.53,1.49,11.13,0.3,30.98
ES13_T2,ES,13,3,H,C,8.66,7.02,10.95,0.05,8.19,1.91,6.28,0.001,0.32,0.38,1.05,51.97,29.22,18.81,26.12,1.56,60.22,2.5,41.88
ES14_T2,ES,14,3,H,R,8.68,8.31,12.47,0.05,8.95,0.16,8.79,0.001,0.27,0.31,1.78,51.97,29.22,18.81,27.84,1.5,41.64,0.8,27.53
ES15_T2,ES,15,3,H,RC,8.6,7.42,12.17,0.04,9.03,0.52,8.51,0.001,0.3,0.31,0.79,51.97,29.22,18.81,22.4,1.64,51.72,0.7,18.75
ES16_T2,ES,16,3,L,C,8.96,7.82,11.96,0.02,8.44,0.32,8.12,0.001,0.22,0.25,1.06,56.16,24.52,19.33,25.08,1.53,17.8,0.2,14.78
