sample_ID,country,plot,field_pair,carbon_intensity,treatment,pH,WC,VWC,total.N,total.C,organic.C,inorganic.C,PO4_P,total.P,soil_respiration,Nmin,total_sand,total_silt,total_clay,WHC,BD,root.DW,crop.biomass,plant.height
SE1_T2,SE,1,1,H,C,6.49,8.41,12.03,0.21,2.03,1.96,0.07,0.001,0.61,0.3,45.85,54.11,21.29,24.59,29.11,1.43,435.67,8.2,40.38
SE2_T2,SE,2,1,H,R,6.54,7.51,10.75,0.23,2.3,2.24,0.06,0.001,0.74,0.31,63.32,54.11,21.29,24.59,29.11,1.43,457.32,10.4,63
SE3_T2,SE,3,1,H,RC,6.72,5.83,8.34,0.2,2.04,2.03,0,0.001,0.63,0.2,31.65,54.11,21.29,24.59,29.11,1.43,323.57,10.6,45.88
SE4_T2,SE,4,1,L,C,7.05,7.14,10.46,0.15,1.42,1.4,0.02,0.001,0.65,0.3,54.51,52,23.75,24.25,21.13,1.46,377.07,13.6,45.38
SE5_T2,SE,5,1,L,R,6.99,5.03,7.37,0.15,1.47,1.45,0.02,0.002,0.63,0.21,56.91,52,23.75,24.25,21.13,1.46,326.11,12.7,44.63
SE6_T2,SE,6,1,L,RC,6.9,6.5,9.52,0.16,1.5,1.46,0.04,0.002,0.64,0.21,27.73,52,23.75,24.25,21.13,1.46,252.23,6.9,29.63
SE7_T2,SE,7,2,H,C,5.8,11.09,14.97,0.23,2.34,2.33,0.01,0.001,1.25,0.37,48.59,55.34,27.11,17.56,33.09,1.35,371.97,7.8,54.75
SE8_T2,SE,8,2,H,R,5.99,6.33,8.54,0.2,2.17,2.16,0.01,0.001,0.85,0.33,20.78,55.34,27.11,17.56,33.09,1.35,224.2,5.9,56.25
SE9_T2,SE,9,2,H,RC,6.19,7.28,9.82,0.24,2.31,2.3,0.01,0.001,1.18,0.35,48.46,55.34,27.11,17.56,33.09,1.35,323.57,10.2,58.75
SE10_T2,SE,10,2,L,C,6.24,8.83,11.53,0.17,1.72,1.71,0.02,0.001,0.88,0.44,24.26,56.38,27.78,15.84,34.67,1.31,249.68,9,54
SE11_T2,SE,11,2,L,R,5.95,4.94,6.45,0.17,1.73,1.72,0.01,0.001,0.81,0.27,31.85,56.38,27.78,15.84,34.67,1.31,335.03,8.9,59.75
SE12_T2,SE,12,2,L,RC,6.13,6.35,8.29,0.18,1.83,1.82,0.01,0.001,0.83,0.31,32.26,56.38,27.78,15.84,34.67,1.31,166.88,9.2,62.13
SE13_T2,SE,13,3,H,C,7.87,9.59,12.91,0.25,3.07,2.52,0.55,0.001,0.88,0.87,16.43,47.23,41.32,11.45,33.68,1.35,298.09,11,51
SE14_T2,SE,14,3,H,R,7.79,10.58,14.24,0.41,5.71,4.22,1.49,0.001,1.08,1.04,10.96,47.23,41.32,11.45,33.68,1.35,219.11,8.6,49.5
SE15_T2,SE,15,3,H,RC,7.64,10.79,14.52,0.34,4.57,3.46,1.11,0.001,1.04,1.03,26.84,47.23,41.32,11.45,33.68,1.35,434.39,11.8,65.75
