"total_reads","sampleID"
2294334,"SE1_T2"
2216956,"SE2_T2"
2208730,"SE3_T2"
2304462,"SE4_T2"
2217753,"SE5_T2"
2131178,"SE6_T2"
2431691,"SE7_T2"
2424596,"SE8_T2"
3016927,"SE9_T2"
2709481,"SE10_T2"
2649077,"SE11_T2"
2776589,"SE12_T2"
2880050,"SE13_T2"
2769697,"SE14_T2"
2802176,"SE15_T2"
2611318,"SE16_T2"
2895745,"SE17_T2"
2760473,"SE18_T2"
2995209,"SE19_T2"
2967311,"SE20_T2"
3079036,"SE21_T2"
3313283,"SE22_T2"
2955189,"SE23_T2"
2962520,"SE24_T2"
2422135,"SE25_T2"
2151496,"SE26_T2"
1750419,"SE27_T2"
2149178,"SE28_T2"
2296350,"SE29_T2"
2210641,"SE30_T2"
2631667,"DE1_T2"
2396262,"DE2_T2"
2886563,"DE3_T2"
2417822,"DE4_T2"
2300904,"DE5_T2"
2651596,"DE6_T2"
2035465,"DE7_T2"
2499722,"DE8_T2"
2354209,"DE9_T2"
2274223,"DE10_T2"
2799796,"DE11_T2"
2799565,"DE12_T2"
2947066,"DE13_T2"
2994532,"DE14_T2"
2748564,"DE15_T2"
2897369,"DE16_T2"
2908794,"DE17_T2"
2700125,"DE18_T2"
3232009,"DE19_T2"
3148461,"DE20_T2"
2908348,"DE21_T2"
3070743,"DE22_T2"
2870042,"DE23_T2"
2964851,"DE24_T2"
2938991,"DE25_T2"
3085068,"DE26_T2"
2596913,"DE27_T2"
2207261,"DE28_T2"
2387042,"DE29_T2"
2530250,"DE30_T2"
2968335,"ES1_T2"
2757502,"ES2_T2"
2955670,"ES3_T2"
2822162,"ES4_T2"
2711721,"ES5_T2"
2574515,"ES6_T2"
3047478,"ES7_T2"
2590719,"ES8_T2"
3417559,"ES9_T2"
3357422,"ES10_T2"
3178646,"ES11_T2"
3462575,"ES12_T2"
2191354,"ES13_T2"
3335334,"ES14_T2"
3285196,"ES15_T2"
2569525,"ES16_T2"
3087402,"ES17_T2"
3294385,"ES18_T2"
2648387,"ES19_T2"
3145529,"ES20_T2"
3086062,"ES21_T2"
2813822,"ES22_T2"
2696085,"ES23_T2"
2682507,"ES24_T2"
2772278,"ES25_T2"
1816040,"ES26_T2"
2980291,"ES27_T2"
53231,"ES28_T2"
3160453,"ES29_T2"
428075,"ES30_T2"
