otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu1,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces rufochromogenes
otu2,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas marginalis
otu3,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Thermanaerovibrio,Unclassified.Thermanaerovibrio
otu4,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Sterolibacteriaceae,Sulfuritalea,Unclassified.Sulfuritalea
otu5,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Celeribacter,Unclassified.Celeribacter
otu6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum pseudogrignonense
otu7,Bacteria,Unclassified.uncultured bacterium H1_5,Unclassified.uncultured bacterium H1_5,Unclassified.uncultured bacterium H1_5,Unclassified.uncultured bacterium H1_5,Unclassified.uncultured bacterium H1_5,uncultured bacterium H1_5
otu8,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Caldicellulosiruptor,Caldicellulosiruptor kronotskyensis
otu9,Bacteria,Unclassified.uncultured bacterium Contig1474_n_1484_cl,Unclassified.uncultured bacterium Contig1474_n_1484_cl,Unclassified.uncultured bacterium Contig1474_n_1484_cl,Unclassified.uncultured bacterium Contig1474_n_1484_cl,Unclassified.uncultured bacterium Contig1474_n_1484_cl,Unclassified.uncultured bacterium Contig1474_n_1484_cl
otu10,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. MRSN12121
otu11,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Unclassified.Ligilactobacillus
otu12,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chubuense
otu13,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Unclassified.Cellulophaga
otu14,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Arachidicoccus,Arachidicoccus sp. BS20
otu15,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Cryptobacterium,Unclassified.Cryptobacterium
otu16,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium leprae
otu17,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,Unclassified.Hungateiclostridium
otu18,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Janibacter,Janibacter indicus
otu19,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus,Thermobacillus composti
otu20,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,Bradyrhizobium sp. CCGE-LA001
otu21,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Candidatus Phaeomarinobacter,Candidatus Phaeomarinobacter ectocarpi
otu22,Archaea,Thaumarchaeota,Unclassified.uncultured marine thaumarchaeote KM3_38_E02,Unclassified.uncultured marine thaumarchaeote KM3_38_E02,Unclassified.uncultured marine thaumarchaeote KM3_38_E02,Unclassified.uncultured marine thaumarchaeote KM3_38_E02,Unclassified.uncultured marine thaumarchaeote KM3_38_E02
otu23,Bacteria,Cyanobacteria,Unclassified.Synechococcales,Synechococcales,Synechococcaceae,Synechococcus,Synechococcus sp. PCC 6312
otu24,Bacteria,Unclassified.uncultured bacterium Contig1514,Unclassified.uncultured bacterium Contig1514,Unclassified.uncultured bacterium Contig1514,Unclassified.uncultured bacterium Contig1514,Unclassified.uncultured bacterium Contig1514,Unclassified.uncultured bacterium Contig1514
otu25,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosomonas,Nitrosomonas eutropha
otu26,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina globispora
otu27,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,Unclassified.Sphingorhabdus
otu28,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Advenella kashmirensis
otu29,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. oral taxon 193
otu30,Eukaryota,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Ipomoea,Unclassified.Ipomoea
otu31,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. F2
otu32,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium callunae
otu33,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium baderi
otu34,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. PBH53
otu35,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cytobacillus,Unclassified.Cytobacillus
otu36,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces avermitilis
otu37,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella sp. oral taxon 299
otu38,Bacteria,Actinobacteria,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella sp. YY7918
otu39,Bacteria,Proteobacteria,Gammaproteobacteria,Unclassified.endosymbiont of unidentified scaly snail isolate Monju,Unclassified.endosymbiont of unidentified scaly snail isolate Monju,Unclassified.endosymbiont of unidentified scaly snail isolate Monju,endosymbiont of unidentified scaly snail isolate Monju
otu40,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Glaciecola,Glaciecola nitratireducens
otu41,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Hoeflea,Unclassified.Hoeflea
otu42,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus helveticus
otu43,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Croceibacter,Croceibacter atlanticus
otu44,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila
otu45,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Neoasaia,Unclassified.Neoasaia
otu46,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,Unclassified.Acetohalobium
otu47,Bacteria,Bacteroidetes,Unclassified.Bacteroidetes Order II. Incertae sedis,Bacteroidetes Order II. Incertae sedis,Rhodothermaceae,Unclassified.Rhodothermaceae bacterium RA,Unclassified.Rhodothermaceae bacterium RA
otu48,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Glutamicibacter,Glutamicibacter arilaitensis
otu49,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microterricola,Unclassified.Microterricola
otu50,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Allokutzneria,Allokutzneria albata
otu51,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella intermedia
otu52,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas brassicacearum
otu53,Viruses,Uroviricota,Caudoviricetes,Caudovirales,Autographiviridae,Risjevirus,Unclassified.Risjevirus
otu54,Eukaryota,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vinifera
otu55,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome,Unclassified.termite gut metagenome
otu56,Bacteria,Proteobacteria,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Unclassified.Parvularcula
otu57,Bacteria,Armatimonadetes,Unclassified.Armatimonadetes bacterium Uphvl-Ar1,Unclassified.Armatimonadetes bacterium Uphvl-Ar1,Unclassified.Armatimonadetes bacterium Uphvl-Ar1,Unclassified.Armatimonadetes bacterium Uphvl-Ar1,Armatimonadetes bacterium Uphvl-Ar1
otu58,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactiplantibacillus,Unclassified.Lactiplantibacillus
otu59,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,Unclassified.Algibacter
otu60,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus gobiensis
otu61,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Laribacter,Laribacter hongkongensis
otu62,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium glutamicum
otu63,Bacteria,Actinobacteria,Actinobacteria,Jiangellales,Jiangellaceae,Jiangella,Jiangella sp. DSM 45060
otu64,Bacteria,Proteobacteria,Oligoflexia,Bacteriovoracales,Halobacteriovoraceae,Halobacteriovorax,Unclassified.Halobacteriovorax
otu65,Bacteria,Unclassified.uncultured bacterium F39-01,Unclassified.uncultured bacterium F39-01,Unclassified.uncultured bacterium F39-01,Unclassified.uncultured bacterium F39-01,Unclassified.uncultured bacterium F39-01,Unclassified.uncultured bacterium F39-01
otu66,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,Unclassified.Solitalea
otu67,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Hahellaceae,Hahella,Hahella chejuensis
otu68,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,Sphingomonas sp. MM-1
otu69,Bacteria,Caldiserica,Unclassified.Caldiserica,Unclassified.Caldiserica,Unclassified.Caldiserica,Unclassified.Caldiserica,Unclassified.Caldiserica
otu70,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax pacificus
otu71,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces sp. oral taxon 414
otu72,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter sp. ERGS1:01
otu73,Bacteria,Proteobacteria,Alphaproteobacteria,Unclassified.Polymorphum,Unclassified.Polymorphum,Polymorphum,Unclassified.Polymorphum
otu74,Bacteria,Cyanobacteria,Unclassified.Nostocales,Nostocales,Nostocaceae,Cylindrospermum,Cylindrospermum stagnale
otu75,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Unclassified.Methanobacterium
otu76,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia mannitolilytica
otu77,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Unclassified.Flavobacteriaceae bacterium UJ101,Unclassified.Flavobacteriaceae bacterium UJ101
otu78,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp. 769
otu79,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Unclassified.Mycoplasma
otu80,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces olivaceoviridis
otu81,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Brevirhabdus,Unclassified.Brevirhabdus
otu82,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium anhuiense
otu83,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. QIA-37
otu84,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,Unclassified.Formosa
otu85,Eukaryota,Chordata,Actinopteri,Cypriniformes,Danionidae,Danio,Unclassified.Danio
otu86,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus,Unclassified.Thermoproteus
otu87,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium frankenforstense
otu88,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermanaeromonas,Unclassified.Thermanaeromonas
otu89,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Magnetospirillum,Unclassified.Magnetospirillum
otu90,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Azoarcus,Azoarcus olearius
otu91,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,Unclassified.Advenella
