sample_ID,matched,total,unmatched
SE1_T2,1297725,2294334,996609
SE10_T2,1414533,2709481,1294948
SE11_T2,1391572,2649077,1257505
SE12_T2,1514254,2776589,1262335
SE13_T2,1404250,2880050,1475800
SE14_T2,1541488,2769697,1228209
SE15_T2,1549522,2802176,1252654
SE16_T2,1446667,2611318,1164651
SE17_T2,1489914,2895745,1405831
SE18_T2,1381964,2760473,1378509
SE19_T2,1569084,2995209,1426125
SE2_T2,1209022,2216956,1007934
SE20_T2,1654458,2967311,1312853
SE21_T2,1617252,3079036,1461784
SE22_T2,1711777,3313283,1601506
SE23_T2,1623691,2955189,1331498
SE24_T2,1676312,2962520,1286208
SE25_T2,1206661,2422135,1215474
SE26_T2,1219928,2151496,931568
SE27_T2,1058161,1750419,692258
SE28_T2,1265282,2149178,883896
SE29_T2,1367131,2296350,929219
SE3_T2,1224391,2208730,984339
SE30_T2,1253292,2210641,957349
DE1_T2,1475051,2631667,1156616
DE2_T2,1409272,2396262,986990
DE3_T2,1572830,2886563,1313733
DE4_T2,1321761,2417822,1096061
DE5_T2,1341035,2300904,959869
DE6_T2,1390466,2651596,1261130
DE7_T2,1179888,2035465,855577
DE8_T2,1381869,2499722,1117853
DE9_T2,1324169,2354209,1030040
SE4_T2,1268436,2304462,1036026
DE10_T2,1286459,2274223,987764
DE11_T2,1214375,2799796,1585421
DE12_T2,1319062,2799565,1480503
DE13_T2,1344896,2947066,1602170
DE14_T2,1586257,2994532,1408275
DE15_T2,1371839,2748564,1376725
DE16_T2,1460715,2897369,1436654
DE17_T2,1472305,2908794,1436489
DE18_T2,1481608,2700125,1218517
DE19_T2,1736743,3232009,1495266
SE5_T2,1254096,2217753,963657
DE20_T2,1831074,3148461,1317387
DE21_T2,1670186,2908348,1238162
DE22_T2,1667157,3070743,1403586
DE23_T2,1573000,2870042,1297042
DE24_T2,1744514,2964851,1220337
DE25_T2,1672711,2938991,1266280
DE26_T2,1788417,3085068,1296651
DE27_T2,1384812,2596913,1212101
DE28_T2,1231219,2207261,976042
DE29_T2,1304704,2387042,1082338
SE6_T2,1196290,2131178,934888
DE30_T2,1327616,2530250,1202634
ES1_T2,1804008,2968335,1164327
ES2_T2,1620848,2757502,1136654
ES3_T2,1803450,2955670,1152220
ES4_T2,1623168,2822162,1198994
ES5_T2,1637363,2711721,1074358
ES6_T2,1553805,2574515,1020710
ES7_T2,1880169,3047478,1167309
ES8_T2,1717272,2590719,873447
ES9_T2,2175846,3417559,1241713
SE7_T2,1344766,2431691,1086925
ES10_T2,2007247,3357422,1350175
ES11_T2,1865444,3178646,1313202
ES12_T2,1979370,3462575,1483205
ES13_T2,1230296,2191354,961058
ES14_T2,1935774,3335334,1399560
ES15_T2,1881423,3285196,1403773
ES16_T2,1597167,2569525,972358
ES17_T2,1939410,3087402,1147992
ES18_T2,1996342,3294385,1298043
ES19_T2,1579476,2648387,1068911
SE8_T2,1394738,2424596,1029858
ES20_T2,1836387,3145529,1309142
ES21_T2,1789183,3086062,1296879
ES22_T2,1677816,2813822,1136006
ES23_T2,1590351,2696085,1105734
ES24_T2,1585294,2682507,1097213
ES25_T2,1599251,2772278,1173027
ES26_T2,1126385,1816040,689655
ES27_T2,1759449,2980291,1220842
ES28_T2,31881,53231,21350
ES29_T2,1902556,3160453,1257897
SE9_T2,1553901,3016927,1463026
ES30_T2,247594,428075,180481
